dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2018-07-23 03:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.00010528611321813605,0.0,-0.006578876252703367,-0.0009412913759354037,-0.007545569077880043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 04:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0005460379353671527,0.0,-0.006578876252703367,-0.0009412913759354037,-0.0073253063860659814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 05:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.002013032813553259,0.0,-0.006578876252703367,-0.0009412913759354037,-0.0065922573905333815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 06:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,8.277823622744986e-05,0.0,-0.006578876252703367,-0.0009412913759354037,-0.007557366438931588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 07:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.010774817319489493,0.0,-0.006578876252703367,-0.0009412913759354037,-0.012986056064888136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 08:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0037765097613464693,0.0,-0.006578876252703367,-0.0009412913759354037,-0.005770507792504187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 09:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0010783237085123208,0.0,-0.006578876252703367,-0.0009412913759354037,-0.00711875758322493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 10:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0020226074451279445,0.0,-0.006578876252703367,-0.0009412913759354037,-0.0066469754734077915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 11:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.000535466834097941,0.0,-0.006578876252703367,-0.0009412913759354037,-0.007389608953038807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 12:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.002511301139733315,0.0,-0.006578876252703367,-0.0009412913759354037,-0.006401856341270407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 13:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.003052093100299638,0.0,-0.006578876252703367,-0.0009412913759354037,-0.006131501982363371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 14:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.002553872417176829,0.0,-0.006578876252703367,-0.0009412913759354037,-0.006379952123217091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 15:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.002545896024782352,0.0,-0.006578876252703367,-0.0009412913759354037,-0.006383933413068588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 16:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.001960998089484213,0.0,-0.006578876252703367,-0.0009412913759354037,-0.008545343358283452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 17:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.002930142218678565,0.0,-0.006578876252703367,-0.0009412913759354037,-0.006100463181197974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 18:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.006067448782957584,0.0,-0.006578876252703367,-0.0009412913759354037,-0.0045319337026342305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 19:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034840454723284297,0.0,-0.006578876252703367,-0.0009412913759354037,-0.009307427051927596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
